address,nbr_tx_in,nbr_tx_out,Tot_in,Tot_out,mean_in,mean_out,sdev_in,sdev_out,gini_in,gini_out,avg_time_btw_tx,lifetime,ponzi
0xee462a6717f17c57c826f1ad9b4d3813495296c9,12,38,1.47E+19,8.75E+19,1.22E+18,2.30E+18,1.04E+18,4.91E+18,0.463782544,0.815517088,8614.24,430712,1
0x303e50180fe5794ba066e227f376b22341aad497,2,360,1.39E+17,7.88E+20,6.95E+16,2.19E+18,3.06E+16,2.68E+18,0.219942405,0.605936229,84092.1326,30441352,1
0xb5aff01f3e820735fac9abb594dc9993cb9e5bd2,27,46,9.96E+19,5.89E+19,3.69E+18,1.28E+18,2.28E+18,2.12E+17,0.329348736,0.037194293,67207.63014,4906157,1
0xed41e841ed150f8fb1febc8c443a113c1cd95a1d,343,109,7.49E+21,1.84E+18,2.18E+19,1.69E+16,3.19E+19,3.33E+16,0.696583424,0.768753651,141557.8075,63984129,1
0x19a6067538c90973ef5dc31ded5fa567f3d09059,15,3,1.35E+20,9.00E+18,9.00E+18,3.00E+18,0,0,0,0,113114.2222,2036056,1
0x7d56485e026d5d3881f778e99969d2b1f90c50af,2,1,1.00E+19,9.09E+16,5.00E+18,9.09E+16,0,0,0,0,546375,1639125,1
0x09515cb5e3acaef239ab83d78b2f3e3764fcab9b,2,19,1.00E+19,3.46E+20,5.01E+18,1.82E+19,0,3.12E+19,0,0.746622397,249104.6667,5231198,1
0xa7481af3bbc9d902c02f58204c5683052de53330,25,1257,2.21E+19,1.33E+21,8.84E+17,1.06E+18,3.14E+17,8.07E+18,0.115652568,0.941914286,47466.78471,60852418,1
0x4668cd871eba35997e1fbe66d0eddf6612d018ce,17,83,4.99E+18,1.11E+20,2.93E+17,1.34E+18,4.72E+17,2.78E+18,0.698817746,0.805680595,4164.52,416452,1
0x772cba2f87f92e95bb8ffa96187bbedebbb484d3,1,2,1.50E+20,1.75E+16,1.50E+20,8.75E+15,0,4.75E+15,0,0.271428571,2615555.333,7846666,1
